统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,76.5515,4.2138,39
2,301,600,62.7429,16.3553,64
3,601,900,81.9210,1.7662,18
4,901,1200,81.4494,0.9853,10
