统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,76.8288,5.1507,48
2,301,600,54.3545,19.0901,60
3,601,900,79.8125,2.4096,22
4,901,1200,76.7481,0.9488,9
